Individuo,PC1,PC2
Individuo_1,9.8896748972,0.9773312327
Individuo_2,11.0876231698,0.0835338926
Individuo_3,11.8135326843,1.0222814078
Individuo_4,9.8726582583,-2.1763702011
Individuo_5,9.2452638090,-2.2447629348
Individuo_6,10.8610072443,0.7217654458
Individuo_7,11.2524196439,0.5194353218
Individuo_8,9.6018799246,-2.1369492749
Individuo_9,10.6777692124,0.1815603770
Individuo_10,11.5224213260,0.5712582314
Individuo_11,10.1327488287,-2.4493052576
Individuo_12,12.2916380539,0.3075903187
Individuo_13,-11.8704662211,0.2891403019
Individuo_14,-10.6678833250,-0.7547778135
Individuo_15,-9.1303064869,1.1118713101
Individuo_16,-11.3680141839,-0.7577634667
Individuo_17,-10.5922167948,-1.1939997535
Individuo_18,-11.6687130460,1.0247910634
Individuo_19,-11.1053547294,-1.7289485130
Individuo_20,-10.0690066052,0.7342164638
Individuo_21,-10.7523544245,-2.8200919656
Individuo_22,-10.7072712878,1.8432541362
Individuo_23,-11.1232182967,-0.6459892011
Individuo_24,-10.3610138419,0.4077340213
Individuo_25,1.4171111351,5.0394887093
Individuo_26,-0.6325542120,1.4486121514
Individuo_27,0.4541161872,2.5727924813
Individuo_28,-0.7431143452,-3.6680213495
Individuo_29,0.4027033703,-5.8720874097
Individuo_30,0.2689200554,7.5924102745
