fila,columna,valor
0,0,4
0,0,-1
0,0,-1
1,1,-1
1,1,4
1,1,-1
1,1,-1
2,2,-1
2,2,4
2,2,-1
2,2,-1
3,3,-1
3,3,4
3,3,-1
3,3,-1
4,4,-1
4,4,4
4,4,-1
4,4,-1
5,5,-1
5,5,4
5,5,-1
5,5,-1
6,6,-1
6,6,4
6,6,-1
6,6,-1
7,7,-1
7,7,4
7,7,-1
7,7,-1
8,8,-1
8,8,4
8,8,-1
8,8,-1
9,9,-1
9,9,4
9,9,-1
9,9,-1
10,10,-1
10,10,4
10,10,-1
10,10,-1
11,11,-1
11,11,4
11,11,-1
11,11,-1
12,12,-1
12,12,4
12,12,-1
12,12,-1
13,13,-1
13,13,4
13,13,-1
13,13,-1
14,14,-1
14,14,4
14,14,-1
14,14,-1
15,15,-1
15,15,4
15,15,-1
15,15,-1
16,16,-1
16,16,4
16,16,-1
16,16,-1
17,17,-1
17,17,4
17,17,-1
17,17,-1
18,18,-1
18,18,4
18,18,-1
18,18,-1
19,19,-1
19,19,4
19,19,-1
20,20,-1
20,20,4
20,20,-1
20,20,-1
21,21,-1
21,21,-1
21,21,4
21,21,-1
21,21,-1
22,22,-1
22,22,-1
22,22,4
22,22,-1
22,22,-1
23,23,-1
23,23,-1
23,23,4
23,23,-1
23,23,-1
24,24,-1
24,24,-1
24,24,4
24,24,-1
24,24,-1
25,25,-1
25,25,-1
25,25,4
25,25,-1
25,25,-1
26,26,-1
26,26,-1
26,26,4
26,26,-1
26,26,-1
27,27,-1
27,27,-1
27,27,4
27,27,-1
27,27,-1
28,28,-1
28,28,-1
28,28,4
28,28,-1
28,28,-1
29,29,-1
29,29,-1
29,29,4
29,29,-1
29,29,-1
30,30,-1
30,30,-1
30,30,4
30,30,-1
30,30,-1
31,31,-1
31,31,-1
31,31,4
31,31,-1
31,31,-1
32,32,-1
32,32,-1
32,32,4
32,32,-1
32,32,-1
33,33,-1
33,33,-1
33,33,4
33,33,-1
33,33,-1
34,34,-1
34,34,-1
34,34,4
34,34,-1
34,34,-1
35,35,-1
35,35,-1
35,35,4
35,35,-1
35,35,-1
36,36,-1
36,36,-1
36,36,4
36,36,-1
36,36,-1
37,37,-1
37,37,-1
37,37,4
37,37,-1
37,37,-1
38,38,-1
38,38,-1
38,38,4
38,38,-1
38,38,-1
39,39,-1
39,39,-1
39,39,4
39,39,-1
40,40,-1
40,40,4
40,40,-1
40,40,-1
41,41,-1
41,41,-1
41,41,4
41,41,-1
41,41,-1
42,42,-1
42,42,-1
42,42,4
42,42,-1
42,42,-1
43,43,-1
43,43,-1
43,43,4
43,43,-1
43,43,-1
44,44,-1
44,44,-1
44,44,4
44,44,-1
44,44,-1
45,45,-1
45,45,-1
45,45,4
45,45,-1
45,45,-1
46,46,-1
46,46,-1
46,46,4
46,46,-1
46,46,-1
47,47,-1
47,47,-1
47,47,4
47,47,-1
47,47,-1
48,48,-1
48,48,-1
48,48,4
48,48,-1
48,48,-1
49,49,-1
49,49,-1
49,49,4
49,49,-1
49,49,-1
50,50,-1
50,50,-1
50,50,4
50,50,-1
50,50,-1
51,51,-1
51,51,-1
51,51,4
51,51,-1
51,51,-1
52,52,-1
52,52,-1
52,52,4
52,52,-1
52,52,-1
53,53,-1
53,53,-1
53,53,4
53,53,-1
53,53,-1
54,54,-1
54,54,-1
54,54,4
54,54,-1
54,54,-1
55,55,-1
55,55,-1
55,55,4
55,55,-1
55,55,-1
56,56,-1
56,56,-1
56,56,4
56,56,-1
56,56,-1
57,57,-1
57,57,-1
57,57,4
57,57,-1
57,57,-1
58,58,-1
58,58,-1
58,58,4
58,58,-1
58,58,-1
59,59,-1
59,59,-1
59,59,4
59,59,-1
60,60,-1
60,60,4
60,60,-1
60,60,-1
61,61,-1
61,61,-1
61,61,4
61,61,-1
61,61,-1
62,62,-1
62,62,-1
62,62,4
62,62,-1
62,62,-1
63,63,-1
63,63,-1
63,63,4
63,63,-1
63,63,-1
64,64,-1
64,64,-1
64,64,4
64,64,-1
64,64,-1
65,65,-1
65,65,-1
65,65,4
65,65,-1
65,65,-1
66,66,-1
66,66,-1
66,66,4
66,66,-1
66,66,-1
67,67,-1
67,67,-1
67,67,4
67,67,-1
67,67,-1
68,68,-1
68,68,-1
68,68,4
68,68,-1
68,68,-1
69,69,-1
69,69,-1
69,69,4
69,69,-1
69,69,-1
70,70,-1
70,70,-1
70,70,4
70,70,-1
70,70,-1
71,71,-1
71,71,-1
71,71,4
71,71,-1
71,71,-1
72,72,-1
72,72,-1
72,72,4
72,72,-1
72,72,-1
73,73,-1
73,73,-1
73,73,4
73,73,-1
73,73,-1
74,74,-1
74,74,-1
74,74,4
74,74,-1
74,74,-1
75,75,-1
75,75,-1
75,75,4
75,75,-1
75,75,-1
76,76,-1
76,76,-1
76,76,4
76,76,-1
76,76,-1
77,77,-1
77,77,-1
77,77,4
77,77,-1
77,77,-1
78,78,-1
78,78,-1
78,78,4
78,78,-1
78,78,-1
79,79,-1
79,79,-1
79,79,4
79,79,-1
80,80,-1
80,80,4
80,80,-1
80,80,-1
81,81,-1
81,81,-1
81,81,4
81,81,-1
81,81,-1
82,82,-1
82,82,-1
82,82,4
82,82,-1
82,82,-1
83,83,-1
83,83,-1
83,83,4
83,83,-1
83,83,-1
84,84,-1
84,84,-1
84,84,4
84,84,-1
84,84,-1
85,85,-1
85,85,-1
85,85,4
85,85,-1
85,85,-1
86,86,-1
86,86,-1
86,86,4
86,86,-1
86,86,-1
87,87,-1
87,87,-1
87,87,4
87,87,-1
87,87,-1
88,88,-1
88,88,-1
88,88,4
88,88,-1
88,88,-1
89,89,-1
89,89,-1
89,89,4
89,89,-1
89,89,-1
90,90,-1
90,90,-1
90,90,4
90,90,-1
90,90,-1
91,91,-1
91,91,-1
91,91,4
91,91,-1
91,91,-1
92,92,-1
92,92,-1
92,92,4
92,92,-1
92,92,-1
93,93,-1
93,93,-1
93,93,4
93,93,-1
93,93,-1
94,94,-1
94,94,-1
94,94,4
94,94,-1
94,94,-1
95,95,-1
95,95,-1
95,95,4
95,95,-1
95,95,-1
96,96,-1
96,96,-1
96,96,4
96,96,-1
96,96,-1
97,97,-1
97,97,-1
97,97,4
97,97,-1
97,97,-1
98,98,-1
98,98,-1
98,98,4
98,98,-1
98,98,-1
99,99,-1
99,99,-1
99,99,4
99,99,-1
100,100,-1
100,100,4
100,100,-1
100,100,-1
101,101,-1
101,101,-1
101,101,4
101,101,-1
101,101,-1
102,102,-1
102,102,-1
102,102,4
102,102,-1
102,102,-1
103,103,-1
103,103,-1
103,103,4
103,103,-1
103,103,-1
104,104,-1
104,104,-1
104,104,4
104,104,-1
104,104,-1
105,105,-1
105,105,-1
105,105,4
105,105,-1
105,105,-1
106,106,-1
106,106,-1
106,106,4
106,106,-1
106,106,-1
107,107,-1
107,107,-1
107,107,4
107,107,-1
107,107,-1
108,108,-1
108,108,-1
108,108,4
108,108,-1
108,108,-1
109,109,-1
109,109,-1
109,109,4
109,109,-1
109,109,-1
110,110,-1
110,110,-1
110,110,4
110,110,-1
110,110,-1
111,111,-1
111,111,-1
111,111,4
111,111,-1
111,111,-1
112,112,-1
112,112,-1
112,112,4
112,112,-1
112,112,-1
113,113,-1
113,113,-1
113,113,4
113,113,-1
113,113,-1
114,114,-1
114,114,-1
114,114,4
114,114,-1
114,114,-1
115,115,-1
115,115,-1
115,115,4
115,115,-1
115,115,-1
116,116,-1
116,116,-1
116,116,4
116,116,-1
116,116,-1
117,117,-1
117,117,-1
117,117,4
117,117,-1
117,117,-1
118,118,-1
118,118,-1
118,118,4
118,118,-1
118,118,-1
119,119,-1
119,119,-1
119,119,4
119,119,-1
120,120,-1
120,120,4
120,120,-1
120,120,-1
121,121,-1
121,121,-1
121,121,4
121,121,-1
121,121,-1
122,122,-1
122,122,-1
122,122,4
122,122,-1
122,122,-1
123,123,-1
123,123,-1
123,123,4
123,123,-1
123,123,-1
124,124,-1
124,124,-1
124,124,4
124,124,-1
124,124,-1
125,125,-1
125,125,-1
125,125,4
125,125,-1
125,125,-1
126,126,-1
126,126,-1
126,126,4
126,126,-1
126,126,-1
127,127,-1
127,127,-1
127,127,4
127,127,-1
127,127,-1
128,128,-1
128,128,-1
128,128,4
128,128,-1
128,128,-1
129,129,-1
129,129,-1
129,129,4
129,129,-1
129,129,-1
130,130,-1
130,130,-1
130,130,4
130,130,-1
130,130,-1
131,131,-1
131,131,-1
131,131,4
131,131,-1
131,131,-1
132,132,-1
132,132,-1
132,132,4
132,132,-1
132,132,-1
133,133,-1
