x,y,temperatura
0.047619,0.047619,25.2552
0.047619,0.0952381,35.3941
0.047619,0.142857,40.3008
0.047619,0.190476,43.1084
0.047619,0.238095,44.9461
0.047619,0.285714,46.2792
0.047619,0.333333,47.3262
0.047619,0.380952,48.2028
0.047619,0.428571,48.9779
0.047619,0.47619,49.6982
0.047619,0.52381,50.4001
0.047619,0.571429,51.1171
0.047619,0.619048,51.8861
0.047619,0.666667,52.7543
0.047619,0.714286,53.7912
0.047619,0.761905,55.1132
0.047619,0.809524,56.9392
0.047619,0.857143,59.7349
0.047619,0.904762,64.6297
0.047619,0.952381,74.7567
0.0952381,0.047619,15.6265
0.0952381,0.0952381,26.0205
0.0952381,0.142857,32.7007
0.0952381,0.190476,37.1868
0.0952381,0.238095,40.3968
0.0952381,0.285714,42.8446
0.0952381,0.333333,44.8229
0.0952381,0.380952,46.5071
0.0952381,0.428571,48.0107
0.0952381,0.47619,49.4149
0.0952381,0.52381,50.785
0.0952381,0.571429,52.1823
0.0952381,0.619048,53.6731
0.0952381,0.666667,55.3398
0.0952381,0.714286,57.2973
0.0952381,0.761905,59.7224
0.0952381,0.809524,62.9087
0.0952381,0.857143,67.3708
0.0952381,0.904762,74.0271
0.0952381,0.952381,84.3972
0.142857,0.047619,11.2305
0.142857,0.0952381,20.3606
0.142857,0.142857,27.2948
0.142857,0.190476,32.5413
0.142857,0.238095,36.6096
0.142857,0.285714,39.8796
0.142857,0.333333,42.6136
0.142857,0.380952,44.9919
0.142857,0.428571,47.143
0.142857,0.47619,49.1656
0.142857,0.52381,51.1428
0.142857,0.571429,53.154
0.142857,0.619048,55.2843
0.142857,0.666667,57.6344
0.142857,0.714286,60.3357
0.142857,0.761905,63.5705
0.142857,0.809524,67.6025
0.142857,0.857143,72.8126
0.142857,0.904762,79.7107
0.142857,0.952381,88.805
0.190476,0.047619,8.93485
0.190476,0.0952381,16.8964
0.190476,0.142857,23.5766
0.190476,0.190476,29.074
0.190476,0.238095,33.6206
0.190476,0.285714,37.4506
0.190476,0.333333,40.7601
0.190476,0.380952,43.7038
0.190476,0.428571,46.404
0.190476,0.47619,48.9615
0.190476,0.52381,51.4665
0.190476,0.571429,54.0068
0.190476,0.619048,56.6755
0.190476,0.666667,59.5779
0.190476,0.714286,62.8406
0.190476,0.761905,66.6214
0.190476,0.809524,71.1181
0.190476,0.857143,76.5663
0.190476,0.904762,83.1981
0.190476,0.952381,91.1122
0.238095,0.047619,7.61249
0.238095,0.0952381,14.7137
0.238095,0.142857,21.0412
0.238095,0.190476,26.5576
0.238095,0.238095,31.3481
0.238095,0.285714,35.5421
0.238095,0.333333,39.2724
0.238095,0.380952,42.6593
0.238095,0.428571,45.8075
0.238095,0.47619,48.8102
0.238095,0.52381,51.7548
0.238095,0.571429,54.7311
0.238095,0.619048,57.8329
0.238095,0.666667,61.1613
0.238095,0.714286,64.8275
0.238095,0.761905,68.9562
0.238095,0.809524,73.6823
0.238095,0.857143,79.1363
0.238095,0.904762,85.4033
0.238095,0.952381,92.4456
0.285714,0.047619,6.80138
0.285714,0.0952381,13.3047
0.285714,0.142857,19.317
0.285714,0.190476,24.7671
0.285714,0.238095,29.6721
0.285714,0.285714,34.0973
0.285714,0.333333,38.1282
0.285714,0.380952,41.8533
0.285714,0.428571,45.3567
0.285714,0.47619,48.7168
0.285714,0.52381,52.0115
0.285714,0.571429,55.3298
0.285714,0.619048,58.7638
0.285714,0.666667,62.4066
0.285714,0.714286,66.352
0.285714,0.761905,70.6936
0.285714,0.809524,75.5187
0.285714,0.857143,80.8931
0.285714,0.904762,86.8333
0.285714,0.952381,93.267
0.333333,0.047619,6.28836
0.333333,0.0952381,12.3866
0.333333,0.142857,18.155
0.333333,0.190476,23.5218
0.333333,0.238095,28.4757
0.333333,0.285714,33.0469
0.333333,0.333333,37.2898
0.333333,0.380952,41.269
0.333333,0.428571,45.0491
0.333333,0.47619,48.6887
0.333333,0.52381,52.2448
0.333333,0.571429,55.8127
0.333333,0.619048,59.486
0.333333,0.666667,63.3494
0.333333,0.714286,67.4803
0.333333,0.761905,71.9475
0.333333,0.809524,76.8058
0.333333,0.857143,82.0842
0.333333,0.904762,87.7697
0.333333,0.952381,93.7889
0.380952,0.047619,5.96541
0.380952,0.0952381,11.7986
0.380952,0.142857,17.3944
0.380952,0.190476,22.6894
0.380952,0.238095,27.662
0.380952,0.285714,32.3249
0.380952,0.333333,36.7152
0.380952,0.380952,40.8836
0.380952,0.428571,44.8821
0.380952,0.47619,48.7442
0.380952,0.52381,52.4662
0.380952,0.571429,56.1903
0.380952,0.619048,60.018
0.380952,0.666667,64.0248
0.380952,0.714286,68.2723
0.380952,0.761905,72.8104
0.380952,0.809524,77.6727
0.380952,0.857143,82.8683
0.380952,0.904762,88.3725
0.380952,0.952381,94.1189
0.428571,0.047619,5.77472
0.428571,0.0952381,11.4478
0.428571,0.142857,16.9347
0.428571,0.190476,22.1795
0.428571,0.238095,27.1579
0.428571,0.285714,31.8755
0.428571,0.333333,36.3624
0.428571,0.380952,40.6681
0.428571,0.428571,44.8516
0.428571,0.47619,48.9397
0.428571,0.52381,52.6857
0.428571,0.571429,56.4641
0.428571,0.619048,60.371
0.428571,0.666667,64.4594
0.428571,0.714286,68.7737
0.428571,0.761905,73.3491
0.428571,0.809524,78.2062
0.428571,0.857143,83.3438
0.428571,0.904762,88.7331
0.428571,0.952381,94.3143
0.47619,0.047619,5.68573
0.47619,0.0952381,11.2831
0.47619,0.142857,16.7171
0.47619,0.190476,21.9359
0.47619,0.238095,26.9148
0.47619,0.285714,31.6568
0.47619,0.333333,36.1908
0.47619,0.380952,40.5748
0.47619,0.428571,44.9167
0.47619,0.47619,49.4771
0.47619,0.52381,52.8729
0.47619,0.571429,56.6093
0.47619,0.619048,60.5423
0.47619,0.666667,64.6683
0.47619,0.714286,69.0139
0.47619,0.761905,73.6061
0.47619,0.809524,78.4592
0.47619,0.857143,83.5677
0.47619,0.904762,88.9017
0.47619,0.952381,94.4052
0.52381,0.047619,5.6851
0.52381,0.0952381,11.2817
0.52381,0.142857,16.7148
0.52381,0.190476,21.9321
0.52381,0.238095,26.9086
0.52381,0.285714,31.6459
0.52381,0.333333,36.1693
0.52381,0.380952,40.5235
0.52381,0.428571,44.7632
0.52381,0.47619,48.9116
0.52381,0.52381,52.7194
0.52381,0.571429,56.558
0.52381,0.619048,60.5208
0.52381,0.666667,64.6574
0.52381,0.714286,69.0077
0.52381,0.761905,73.6022
0.52381,0.809524,78.4567
0.52381,0.857143,83.5661
0.52381,0.904762,88.9007
0.52381,0.952381,94.4047
0.571429,0.047619,5.77295
0.571429,0.0952381,11.4439
0.571429,0.142857,16.9282
0.571429,0.190476,22.1692
0.571429,0.238095,27.1416
0.571429,0.285714,31.8489
0.571429,0.333333,36.3171
0.571429,0.380952,40.5866
0.571429,0.428571,44.701
0.571429,0.47619,48.6868
0.571429,0.52381,52.535
0.571429,0.571429,56.3825
0.571429,0.619048,60.3256
0.571429,0.666667,64.4327
0.571429,0.714286,68.7571
0.571429,0.761905,73.3385
0.571429,0.809524,78.1993
0.571429,0.857143,83.3394
0.571429,0.904762,88.7304
0.571429,0.952381,94.313
0.619048,0.047619,5.96275
0.619048,0.0952381,11.7929
0.619048,0.142857,17.3849
0.619048,0.190476,22.6747
0.619048,0.238095,27.6397
0.619048,0.285714,32.2911
0.619048,0.333333,36.6636
0.619048,0.380952,40.805
0.619048,0.428571,44.7673
0.619048,0.47619,48.5996
0.619048,0.52381,52.3514
0.619048,0.571429,56.1115
0.619048,0.619048,59.9662
0.619048,0.666667,63.9907
0.619048,0.714286,68.2497
0.619048,0.761905,72.7952
0.619048,0.809524,77.6625
0.619048,0.857143,82.8617
0.619048,0.904762,88.3685
0.619048,0.952381,94.117
0.666667,0.047619,6.28518
0.666667,0.0952381,12.3799
0.666667,0.142857,18.1439
0.666667,0.190476,23.5051
0.666667,0.238095,28.4514
0.666667,0.285714,33.0122
0.666667,0.333333,37.241
0.666667,0.380952,41.2024
0.666667,0.428571,44.9638
0.666667,0.47619,48.5928
0.666667,0.52381,52.1594
0.666667,0.571429,55.746
0.666667,0.619048,59.437
0.666667,0.666667,63.3144
0.666667,0.714286,67.4556
0.666667,0.761905,71.9302
0.666667,0.809524,76.7939
0.666667,0.857143,82.0763
0.666667,0.904762,87.7649
0.666667,0.952381,93.7866
0.714286,0.047619,6.79804
0.714286,0.0952381,13.2977
0.714286,0.142857,19.3057
0.714286,0.190476,24.7505
0.714286,0.238095,29.6486
0.714286,0.285714,34.0654
0.714286,0.333333,38.0859
0.714286,0.380952,41.7996
0.714286,0.428571,45.2928
0.714286,0.47619,48.6483
0.714286,0.52381,51.9476
0.714286,0.571429,55.2759
0.714286,0.619048,58.7213
0.714286,0.666667,62.3743
0.714286,0.714286,66.3281
0.714286,0.761905,70.6763
0.714286,0.809524,75.5064
0.714286,0.857143,80.8848
0.714286,0.904762,86.8281
0.714286,0.952381,93.2645
0.761905,0.047619,7.60929
0.761905,0.0952381,14.7071
0.761905,0.142857,21.0307
0.761905,0.190476,26.5424
0.761905,0.238095,31.3273
0.761905,0.285714,35.5147
0.761905,0.333333,39.2377
0.761905,0.380952,42.6172
0.761905,0.428571,45.7596
0.761905,0.47619,48.7599
0.761905,0.52381,51.7069
0.761905,0.571429,54.6889
0.761905,0.619048,57.7979
0.761905,0.666667,61.1335
0.761905,0.714286,64.8062
0.761905,0.761905,68.9403
0.761905,0.809524,73.6708
0.761905,0.857143,79.1283
0.761905,0.904762,85.3983
0.761905,0.952381,92.4432
0.809524,0.047619,8.93205
0.809524,0.0952381,16.8907
0.809524,0.142857,23.5675
0.809524,0.190476,29.0612
0.809524,0.238095,33.6034
0.809524,0.285714,37.4285
0.809524,0.333333,40.733
0.809524,0.380952,43.6719
0.809524,0.428571,46.3686
0.809524,0.47619,48.9248
0.809524,0.52381,51.431
0.809524,0.571429,53.9747
0.809524,0.619048,56.6481
0.809524,0.666667,59.5555
0.809524,0.714286,62.8229
0.809524,0.761905,66.6078
0.809524,0.809524,71.1081
0.809524,0.857143,76.5593
0.809524,0.904762,83.1937
0.809524,0.952381,91.1101
0.857143,0.047619,11.2283
0.857143,0.0952381,20.356
0.857143,0.142857,27.2877
0.857143,0.190476,32.5313
0.857143,0.238095,36.5964
0.857143,0.285714,39.8631
0.857143,0.333333,42.5937
0.857143,0.380952,44.969
0.857143,0.428571,47.118
0.857143,0.47619,49.1397
0.857143,0.52381,51.1177
0.857143,0.571429,53.131
0.857143,0.619048,55.2642
0.857143,0.666667,57.6176
0.857143,0.714286,60.3222
0.857143,0.761905,63.56
0.857143,0.809524,67.5946
