x,y,temperatura,tipo
0,0,50,frontera
0,0.047619,50,frontera
0,0.0952381,50,frontera
0,0.142857,50,frontera
0,0.190476,50,frontera
0,0.238095,50,frontera
0,0.285714,50,frontera
0,0.333333,50,frontera
0,0.380952,50,frontera
0,0.428571,50,frontera
0,0.47619,50,frontera
0,0.52381,50,frontera
0,0.571429,50,frontera
0,0.619048,50,frontera
0,0.666667,50,frontera
0,0.714286,50,frontera
0,0.761905,50,frontera
0,0.809524,50,frontera
0,0.857143,50,frontera
0,0.904762,50,frontera
0,0.952381,50,frontera
0,1,50,frontera
0.047619,0,0,frontera
0.047619,0.047619,25.2552,interno
0.047619,0.0952381,35.3941,interno
0.047619,0.142857,40.3008,interno
0.047619,0.190476,43.1084,interno
0.047619,0.238095,44.9461,interno
0.047619,0.285714,46.2792,interno
0.047619,0.333333,47.3262,interno
0.047619,0.380952,48.2028,interno
0.047619,0.428571,48.9779,interno
0.047619,0.47619,49.6982,interno
0.047619,0.52381,50.4001,interno
0.047619,0.571429,51.1171,interno
0.047619,0.619048,51.8861,interno
0.047619,0.666667,52.7543,interno
0.047619,0.714286,53.7912,interno
0.047619,0.761905,55.1132,interno
0.047619,0.809524,56.9392,interno
0.047619,0.857143,59.7349,interno
0.047619,0.904762,64.6297,interno
0.047619,0.952381,74.7567,interno
0.047619,1,100,frontera
0.0952381,0,0,frontera
0.0952381,0.047619,15.6265,interno
0.0952381,0.0952381,26.0205,interno
0.0952381,0.142857,32.7007,interno
0.0952381,0.190476,37.1868,interno
0.0952381,0.238095,40.3968,interno
0.0952381,0.285714,42.8446,interno
0.0952381,0.333333,44.8229,interno
0.0952381,0.380952,46.5071,interno
0.0952381,0.428571,48.0107,interno
0.0952381,0.47619,49.4149,interno
0.0952381,0.52381,50.785,interno
0.0952381,0.571429,52.1823,interno
0.0952381,0.619048,53.6731,interno
0.0952381,0.666667,55.3398,interno
0.0952381,0.714286,57.2973,interno
0.0952381,0.761905,59.7224,interno
0.0952381,0.809524,62.9087,interno
0.0952381,0.857143,67.3708,interno
0.0952381,0.904762,74.0271,interno
0.0952381,0.952381,84.3972,interno
0.0952381,1,100,frontera
0.142857,0,0,frontera
0.142857,0.047619,11.2305,interno
