x,y,temperatura
0.047619,0.047619,25.2488
0.047619,0.0952381,35.3814
0.047619,0.142857,40.2818
0.047619,0.190476,43.0832
0.047619,0.238095,44.9149
0.047619,0.285714,46.2424
0.047619,0.333333,47.2844
0.047619,0.380952,48.157
0.047619,0.428571,48.9295
0.047619,0.47619,49.6488
0.047619,0.52381,50.3512
0.047619,0.571429,51.0705
0.047619,0.619048,51.843
0.047619,0.666667,52.7156
0.047619,0.714286,53.7576
0.047619,0.761905,55.0851
0.047619,0.809524,56.9168
0.047619,0.857143,59.7182
0.047619,0.904762,64.6186
0.047619,0.952381,74.7512
0.0952381,0.047619,15.6139
0.0952381,0.0952381,25.9951
0.0952381,0.142857,32.6627
0.0952381,0.190476,37.1361
0.0952381,0.238095,40.3339
0.0952381,0.285714,42.7702
0.0952381,0.333333,44.7382
0.0952381,0.380952,46.4141
0.0952381,0.428571,47.9123
0.0952381,0.47619,49.3143
0.0952381,0.52381,50.6857
0.0952381,0.571429,52.0877
0.0952381,0.619048,53.5859
0.0952381,0.666667,55.2618
0.0952381,0.714286,57.2298
0.0952381,0.761905,59.6661
0.0952381,0.809524,62.8639
0.0952381,0.857143,67.3373
0.0952381,0.904762,74.0049
0.0952381,0.952381,84.3861
0.142857,0.047619,11.2115
0.142857,0.0952381,20.3225
0.142857,0.142857,27.2375
0.142857,0.190476,32.4649
0.142857,0.238095,36.5143
0.142857,0.285714,39.7663
0.142857,0.333333,42.4841
0.142857,0.380952,44.8491
0.142857,0.428571,46.9913
0.142857,0.47619,49.0102
0.142857,0.52381,50.9898
0.142857,0.571429,53.0087
0.142857,0.619048,55.1509
0.142857,0.666667,57.5159
0.142857,0.714286,60.2337
0.142857,0.761905,63.4857
0.142857,0.809524,67.5351
0.142857,0.857143,72.7625
0.142857,0.904762,79.6775
0.142857,0.952381,88.7885
0.190476,0.047619,8.90962
0.190476,0.0952381,16.8458
0.190476,0.142857,23.5002
0.190476,0.190476,28.9715
0.190476,0.238095,33.492
0.190476,0.285714,37.2967
0.190476,0.333333,40.5828
0.190476,0.380952,43.5068
0.190476,0.428571,46.1935
0.190476,0.47619,48.7457
0.190476,0.52381,51.2543
0.190476,0.571429,53.8065
0.190476,0.619048,56.4932
0.190476,0.666667,59.4172
0.190476,0.714286,62.7033
0.190476,0.761905,66.508
0.190476,0.809524,71.0285
0.190476,0.857143,76.4998
0.190476,0.904762,83.1542
0.190476,0.952381,91.0904
0.238095,0.047619,7.58122
0.238095,0.0952381,14.6508
0.238095,0.142857,20.9459
0.238095,0.190476,26.429
0.238095,0.238095,31.1855
0.238095,0.285714,35.3456
0.238095,0.333333,39.0435
0.238095,0.380952,42.402
0.238095,0.428571,45.5301
0.238095,0.47619,48.5246
0.238095,0.52381,51.4754
0.238095,0.571429,54.4699
0.238095,0.619048,57.598
0.238095,0.666667,60.9565
0.238095,0.714286,64.6544
0.238095,0.761905,68.8145
0.238095,0.809524,73.571
0.238095,0.857143,79.0541
0.238095,0.904762,85.3492
0.238095,0.952381,92.4188
0.285714,0.047619,6.76449
0.285714,0.0952381,13.2302
0.285714,0.142857,19.2037
0.285714,0.190476,24.6132
0.285714,0.238095,29.4755
0.285714,0.285714,33.8567
0.285714,0.333333,37.8434
0.285714,0.380952,41.5278
0.285714,0.428571,45.0002
0.285714,0.47619,48.3472
0.285714,0.52381,51.6528
0.285714,0.571429,54.9998
0.285714,0.619048,58.4722
0.285714,0.666667,62.1566
0.285714,0.714286,66.1433
0.285714,0.761905,70.5245
0.285714,0.809524,75.3868
0.285714,0.857143,80.7963
0.285714,0.904762,86.7698
0.285714,0.952381,93.2355
0.333333,0.047619,6.24651
0.333333,0.0952381,12.3019
0.333333,0.142857,18.0254
0.333333,0.190476,23.3444
0.333333,0.238095,28.2467
0.333333,0.285714,32.7622
0.333333,0.333333,36.9458
0.333333,0.380952,40.8657
0.333333,0.428571,44.5956
0.333333,0.47619,48.2112
0.333333,0.52381,51.7888
0.333333,0.571429,55.4044
0.333333,0.619048,59.1343
0.333333,0.666667,63.0542
0.333333,0.714286,67.2378
0.333333,0.761905,71.7533
0.333333,0.809524,76.6556
0.333333,0.857143,81.9746
0.333333,0.904762,87.6981
0.333333,0.952381,93.7535
0.380952,0.047619,5.9196
0.380952,0.0952381,11.7056
0.380952,0.142857,17.2516
0.380952,0.190476,22.4924
0.380952,0.238095,27.4048
0.380952,0.285714,31.9995
0.380952,0.333333,36.3119
0.380952,0.380952,40.3935
0.380952,0.428571,44.3052
0.380952,0.47619,48.1133
0.380952,0.52381,51.8867
0.380952,0.571429,55.6948
0.380952,0.619048,59.6065
0.380952,0.666667,63.6881
0.380952,0.714286,68.0005
0.380952,0.761905,72.5952
0.380952,0.809524,77.5076
0.380952,0.857143,82.7484
0.380952,0.904762,88.2944
0.380952,0.952381,94.0804
0.428571,0.047619,5.72629
0.428571,0.0952381,11.3493
0.428571,0.142857,16.7829
0.428571,0.190476,21.969
0.428571,0.238095,26.8805
0.428571,0.285714,31.519
0.428571,0.333333,35.9088
0.428571,0.380952,40.0912
0.428571,0.428571,44.1185
0.428571,0.47619,48.0502
0.428571,0.52381,51.9498
0.428571,0.571429,55.8815
0.428571,0.619048,59.9088
0.428571,0.666667,64.0912
0.428571,0.714286,68.481
0.428571,0.761905,73.1195
0.428571,0.809524,78.031
0.428571,0.857143,83.2171
0.428571,0.904762,88.6507
0.428571,0.952381,94.2737
0.47619,0.047619,5.63625
0.47619,0.0952381,11.1824
0.47619,0.142857,16.5618
0.47619,0.190476,21.72
0.47619,0.238095,26.6292
0.47619,0.285714,31.2872
0.47619,0.333333,35.7133
0.47619,0.380952,39.9439
0.47619,0.428571,44.0273
0.47619,0.47619,48.0194
0.47619,0.52381,51.9806
0.47619,0.571429,55.9727
