iteracion,error_norma,pagerank_0,pagerank_1,pagerank_2
0,0.000000,0.333333,0.333333,0.333333
1,0.347011,0.050000,0.191667,0.475000
2,0.288684,0.035833,0.057083,0.220000
3,0.144444,0.015646,0.030875,0.079396
4,0.045005,0.006296,0.012945,0.039189
5,0.023992,0.002922,0.005597,0.016601
6,0.009986,0.001256,0.002498,0.007255
7,0.004345,0.000550,0.001084,0.003207
8,0.001934,0.000242,0.000476,0.001398
9,0.000840,0.000106,0.000209,0.000613
10,0.000369,0.000046,0.000091,0.000269
11,0.000162,0.000020,0.000040,0.000118
12,0.000071,0.000009,0.000018,0.000052
13,0.000031,0.000004,0.000008,0.000023
14,0.000014,0.000002,0.000003,0.000010
15,0.000006,0.000001,0.000001,0.000004
16,0.000003,0.000000,0.000001,0.000002
17,0.000001,0.000000,0.000000,0.000001
18,0.000001,0.000000,0.000000,0.000000
19,0.000000,0.000000,0.000000,0.000000
20,0.000000,0.000000,0.000000,0.000000
21,0.000000,0.000000,0.000000,0.000000
22,0.000000,0.000000,0.000000,0.000000
23,0.000000,0.000000,0.000000,0.000000
