fila,columna,valor
0,0,0.018750
0,1,0.443750
0,2,0.302083
0,3,0.018750
0,4,0.018750
0,5,0.018750
0,6,0.018750
0,7,0.018750
1,0,0.443750
1,1,0.018750
1,2,0.302083
1,3,0.018750
1,4,0.018750
1,5,0.018750
1,6,0.018750
1,7,0.018750
2,0,0.443750
2,1,0.443750
2,2,0.018750
2,3,0.868750
2,4,0.018750
2,5,0.018750
2,6,0.018750
2,7,0.018750
3,0,0.018750
3,1,0.018750
3,2,0.018750
3,3,0.302083
3,4,0.018750
3,5,0.018750
3,6,0.018750
3,7,0.018750
4,0,0.018750
4,1,0.018750
4,2,0.018750
4,3,0.018750
4,4,0.018750
4,5,0.443750
4,6,0.302083
4,7,0.018750
5,0,0.018750
5,1,0.018750
5,2,0.018750
5,3,0.018750
5,4,0.443750
5,5,0.018750
5,6,0.302083
5,7,0.018750
6,0,0.018750
6,1,0.018750
6,2,0.018750
6,3,0.018750
6,4,0.443750
6,5,0.443750
6,6,0.018750
6,7,0.868750
7,0,0.018750
7,1,0.018750
7,2,0.018750
7,3,0.018750
7,4,0.018750
7,5,0.018750
7,6,0.302083
7,7,0.018750
