iteracion,error_norma,pagerank_0,pagerank_1,pagerank_2,pagerank_3,pagerank_4
0,0.000000,0.200000,0.200000,0.200000,0.200000,0.200000
1,0.120208,0.115000,0.200000,0.200000,0.285000,0.200000
2,0.102177,0.115000,0.127750,0.200000,0.285000,0.272250
3,0.086850,0.115000,0.127750,0.138588,0.346413,0.272250
4,0.063932,0.088900,0.127750,0.138588,0.320312,0.324451
5,0.054343,0.088900,0.105565,0.138588,0.364683,0.302265
6,0.046191,0.088900,0.105565,0.119730,0.345825,0.339980
7,0.029987,0.080885,0.105565,0.119730,0.369869,0.323951
8,0.025489,0.080885,0.098752,0.119730,0.356244,0.344388
9,0.021666,0.080885,0.098752,0.113940,0.373615,0.332807
10,0.019377,0.078424,0.098752,0.113940,0.361311,0.347573
11,0.016471,0.078424,0.096661,0.113940,0.373861,0.337114
12,0.014000,0.078424,0.096661,0.112162,0.364971,0.347782
13,0.011259,0.077669,0.096661,0.112162,0.373284,0.340226
14,0.009570,0.077669,0.096018,0.112162,0.366860,0.347291
15,0.008135,0.077669,0.096018,0.111616,0.372866,0.341831
16,0.007061,0.077437,0.096018,0.111616,0.367993,0.346936
17,0.006002,0.077437,0.095821,0.111616,0.372332,0.342794
18,0.005101,0.077437,0.095821,0.111448,0.368812,0.346482
19,0.004283,0.077365,0.095821,0.111448,0.371875,0.343490
20,0.003641,0.077365,0.095761,0.111448,0.369332,0.346094
21,0.003095,0.077365,0.095761,0.111396,0.371545,0.343932
22,0.002646,0.077344,0.095761,0.111396,0.369686,0.345814
23,0.002249,0.077344,0.095742,0.111396,0.371285,0.344233
24,0.001911,0.077344,0.095742,0.111381,0.369942,0.345592
25,0.001620,0.077337,0.095742,0.111381,0.371090,0.344450
26,0.001377,0.077337,0.095736,0.111381,0.370120,0.345427
27,0.001170,0.077337,0.095736,0.111376,0.370950,0.344602
28,0.000996,0.077335,0.095736,0.111376,0.370246,0.345307
29,0.000847,0.077335,0.095735,0.111376,0.370846,0.344709
30,0.000720,0.077335,0.095735,0.111374,0.370338,0.345219
31,0.000611,0.077334,0.095735,0.111374,0.370770,0.344787
32,0.000520,0.077334,0.095734,0.111374,0.370403,0.345155
33,0.000442,0.077334,0.095734,0.111374,0.370716,0.344843
34,0.000376,0.077334,0.095734,0.111374,0.370450,0.345108
35,0.000319,0.077334,0.095734,0.111374,0.370676,0.344883
36,0.000271,0.077334,0.095734,0.111374,0.370484,0.345074
37,0.000231,0.077334,0.095734,0.111374,0.370647,0.344911
38,0.000196,0.077334,0.095734,0.111374,0.370509,0.345050
39,0.000167,0.077334,0.095734,0.111374,0.370626,0.344932
40,0.000142,0.077334,0.095734,0.111374,0.370526,0.345032
41,0.000120,0.077334,0.095734,0.111374,0.370611,0.344947
42,0.000102,0.077334,0.095734,0.111374,0.370539,0.345020
43,0.000087,0.077334,0.095734,0.111374,0.370601,0.344958
44,0.000074,0.077334,0.095734,0.111374,0.370548,0.345010
45,0.000063,0.077334,0.095734,0.111374,0.370593,0.344966
46,0.000053,0.077334,0.095734,0.111374,0.370555,0.345004
47,0.000045,0.077334,0.095734,0.111374,0.370587,0.344972
48,0.000039,0.077334,0.095734,0.111374,0.370560,0.344999
49,0.000033,0.077334,0.095734,0.111374,0.370583,0.344976
50,0.000028,0.077334,0.095734,0.111374,0.370563,0.344996
51,0.000024,0.077334,0.095734,0.111374,0.370580,0.344979
52,0.000020,0.077334,0.095734,0.111374,0.370566,0.344993
53,0.000017,0.077334,0.095734,0.111374,0.370578,0.344981
54,0.000015,0.077334,0.095734,0.111374,0.370568,0.344991
55,0.000012,0.077334,0.095734,0.111374,0.370576,0.344982
56,0.000011,0.077334,0.095734,0.111374,0.370569,0.344990
57,0.000009,0.077334,0.095734,0.111374,0.370575,0.344984
58,0.000008,0.077334,0.095734,0.111374,0.370570,0.344989
59,0.000006,0.077334,0.095734,0.111374,0.370574,0.344984
60,0.000005,0.077334,0.095734,0.111374,0.370571,0.344988
61,0.000005,0.077334,0.095734,0.111374,0.370574,0.344985
62,0.000004,0.077334,0.095734,0.111374,0.370571,0.344988
63,0.000003,0.077334,0.095734,0.111374,0.370573,0.344985
64,0.000003,0.077334,0.095734,0.111374,0.370571,0.344987
65,0.000002,0.077334,0.095734,0.111374,0.370573,0.344986
66,0.000002,0.077334,0.095734,0.111374,0.370572,0.344987
67,0.000002,0.077334,0.095734,0.111374,0.370573,0.344986
68,0.000001,0.077334,0.095734,0.111374,0.370572,0.344987
69,0.000001,0.077334,0.095734,0.111374,0.370573,0.344986
70,0.000001,0.077334,0.095734,0.111374,0.370572,0.344987
71,0.000001,0.077334,0.095734,0.111374,0.370573,0.344986
72,0.000001,0.077334,0.095734,0.111374,0.370572,0.344987
73,0.000001,0.077334,0.095734,0.111374,0.370573,0.344986
74,0.000001,0.077334,0.095734,0.111374,0.370572,0.344987
75,0.000000,0.077334,0.095734,0.111374,0.370572,0.344986
