indice,valor_singular
1,41041.6
2,5602.31
3,5228.96
4,4377.04
5,3014
6,2986.82
7,2384.25
8,2338.03
9,2233.92
10,2069.78
11,1907.42
12,1846.39
13,1815.8
14,1711.7
15,1671.59
16,1540.67
17,1512.92
18,1432.12
19,1393.66
20,1337.7
21,1306.83
22,1277
23,1272.52
24,1228.95
25,1201.74
26,1161.07
27,1143.33
28,1132.51
29,1097.39
30,1084.77
31,1054.2
32,1039.24
33,1016.91
34,1002.52
35,984.086
36,979.3
37,969.511
38,945.538
39,940.862
40,917.185
41,901.249
42,891.331
43,887.335
44,878.267
45,858.922
46,852.223
47,826.821
48,821.004
49,808.667
50,798.881
51,783.098
52,762.517
53,758.667
54,749.86
55,741.027
56,730.756
57,712.287
58,695.013
59,690.58
60,689.022
61,683.265
62,677.738
63,655.195
64,648.907
65,634.894
66,627.994
67,620.207
68,618.76
69,607.535
70,599.458
71,588.772
72,584.513
73,576.429
74,569.445
75,559.654
76,548.746
77,543.941
78,534.129
79,527.499
80,516.887
81,508.54
82,507.286
83,495.054
84,486.104
85,481.976
86,476.335
87,474.532
88,467.677
89,453.306
90,447.747
91,443.881
92,430.84
93,425.295
94,415.772
95,412.63
96,410.874
97,398.257
98,393.973
99,388.602
100,383.074
101,378.327
102,374.029
103,368.092
104,358.695
105,352.805
106,343.381
107,342.897
108,336.735
109,325.438
110,320.459
111,316.287
112,310.035
113,303.378
114,300.759
115,296.294
116,291.764
117,289.465
118,278.982
119,271.93
120,271.356
121,260.906
122,258.807
123,253.416
124,249.19
125,247.807
126,242.371
127,236.632
128,231.613
129,223.657
130,218.926
131,213.15
132,211.496
133,208.897
134,202.301
135,196.806
136,190.684
137,186.259
138,180.769
139,171.305
140,170.798
141,166.235
142,162.107
143,157.496
144,156.829
145,149.108
146,147.522
147,140.698
148,137.146
149,135.805
150,134.069
151,132.279
152,122.935
153,118.547
154,115.661
155,111.22
156,107.996
157,103.334
158,95.7359
159,94.3404
160,89.3972
161,87.3057
162,83.0499
163,80.9834
164,76.5733
165,74.3838
166,69.9932
167,64.0499
168,61.3248
169,55.9999
170,50.8667
171,47.7439
172,46.835
173,45.6505
174,41.1148
175,36.0052
176,34.5301
177,32.2887
178,28.8964
179,27.0835
180,26.4789
181,23.301
182,17.6344
183,11.898
